Feature,Importance
lipsLowerOuter_405,0.48851359255444865
lipsLowerOuter_375,0.4773867800913309
lipsLowerOuter_181,0.47604182245578003
rightEyebrowUpper_66,0.4706928890572777
lipsUpperInner_13,0.466319203150655
rightEyebrowLower_65,0.46413174382403627
noseBottom_2,0.4627456900214242
leftCheek_280,0.46248208480222547
leftEyebrowUpper_296,0.4624522171893157
rightCheek_50,0.4568904635737787
leftEyebrowLower_295,0.4563343492208914
lipsLowerOuter_17,0.4556624068390256
lipsLowerInner_14,0.44479178466092506
midwayBetweenEyes_168,0.4326695299053439
rightEyebrowLower_52,0.41540219641203396
leftEyebrowLower_282,0.41230074266933225
rightEyebrowUpper_105,0.4071988660344533
rightEyeUpper2_189,0.40485121655235023
leftCheek_371,0.4039809721333267
leftEyebrowUpper_334,0.40100804771039794
rightEyeLower3_245,0.3969097564843545
leftEyeUpper2_443,0.39483674476572633
rightEyeUpper2_222,0.39137898596808457
leftEyebrowUpper_336,0.391236293949101
rightEyeUpper2_221,0.38872964408108607
rightEyeLower3_120,0.38265769352707524
leftEyebrowUpper_285,0.38234184036104796
rightEyeLower3_111,0.38112418090612515
leftEyeUpper2_442,0.3790627100375154
rightEyeUpper2_223,0.37854449900075815
leftEyeLower3_372,0.37738892799089613
rightEyeLower3_117,0.3767573678022255
rightEyeLower3_143,0.37629688700689756
rightEyeLower2_244,0.36618515542382873
leftEyeUpper2_441,0.3632369724637213
leftEyeUpper2_413,0.36265276690390125
leftEyebrowLower_283,0.36177371663693847
leftCheek_330,0.35762097618151034
leftEyeLower3_340,0.35644944533138734
rightEyebrowLower_35,0.35364069663770337
rightEyebrowLower_53,0.3517193428108807
leftEyeLower3_465,0.3513533341701721
leftEyeLower2_464,0.34979481025144926
leftEyeLower3_357,0.3491272891451822
leftEyeLower2_453,0.3488659760754559
leftEyebrowUpper_293,0.34796827226343247
rightEyeUpper1_28,0.3472710046400657
rightEyeLower1_243,0.3440625933377878
leftEyeLower1_463,0.3438795547797728
leftEyeLower1_341,0.3437150354547412
rightEyeLower3_118,0.3433518821695305
leftEyeUpper1_286,0.3418296709814127
leftEyeUpper1_414,0.34165205290950407
rightEyeLower2_228,0.34108752912326024
leftEyebrowUpper_417,0.3403545734895574
rightEyebrowUpper_63,0.33895869988836513
leftEyeUpper2_444,0.3383640061639498
leftEyebrowLower_265,0.3368722678735018
rightEyeUpper1_27,0.3364441153278991
rightEyeLower3_128,0.33607399538353716
rightEyeLower2_230,0.33582360032223973
rightEyeLower2_233,0.33537377551599723
rightEyeLower3_121,0.3350145260125837
rightEyeLower2_31,0.3334664155925737
leftEyeLower0_382,0.3333895848156248
leftEyeUpper1_257,0.33302107481954857
rightEyeUpper1_190,0.3325239087898519
rightEyeUpper2_224,0.3292553082049626
rightEyeUpper1_56,0.32868380414382664
leftEyeUpper1_258,0.3263250436411938
rightEyeLower2_231,0.32607975324287725
rightEyeLower3_119,0.3258244259576168
rightEyeLower0_154,0.32367746646196105
leftEyeLower2_452,0.32357787432219975
rightEyeLower2_226,0.323537422747597
leftEyeLower3_346,0.32349458303175826
leftEyebrowUpper_383,0.32314987199953604
rightEyeLower1_112,0.3226737251279833
rightEyeLower1_26,0.3225299791500305
rightEyeLower0_133,0.32004223418497496
leftEyeLower0_362,0.31981760600043524
leftEyeLower1_256,0.3197498146946056
rightEyeLower2_229,0.3195419935053136
rightEyeLower1_23,0.31907107780519717
leftEyebrowUpper_300,0.3183922064442358
rightEyeLower1_22,0.3152522602326238
rightEyeLower0_145,0.3145949128999201
leftEyeLower3_350,0.3143643182178276
rightEyebrowLower_46,0.31383958083066427
rightEyeLower0_153,0.3132228223575653
rightEyebrowUpper_70,0.3131539224987152
leftEyeUpper2_445,0.31287910050087103
leftEyeUpper0_398,0.31278930088931234
rightEyeUpper0_173,0.31271034078940974
rightEyeUpper2_113,0.312703172093936
rightEyebrowLower_124,0.3122573008218537
leftEyeUpper1_259,0.31191042631489535
rightEyeLower2_232,0.3115988678543125
leftEyeLower0_381,0.3112257635923487
rightEyebrowUpper_156,0.3111942356514647
leftEyeLower0_380,0.3109431155766612
rightEyeUpper0_157,0.31072257672091036
rightEyeUpper1_29,0.309526027880625
rightEyeLower1_25,0.3089535715964819
leftEyeUpper0_384,0.3080621538179628
leftEyebrowLower_353,0.30764975517960386
rightEyeLower0_155,0.3076447272366606
leftEyeLower2_446,0.30739159413828426
leftEyebrowLower_276,0.3049947926816343
rightEyeLower1_130,0.3049609443791747
leftEyeLower2_261,0.3047344691505388
rightEyeLower1_110,0.3025557082716456
leftEyeUpper2_342,0.30231084867494223
rightEyeLower0_144,0.3019428317641678
rightEyeUpper0_161,0.3018925866475583
rightEyeUpper2_225,0.30168741406717614
leftEyeUpper0_388,0.30089847443343154
leftEyeLower1_252,0.29896396918996726
leftEyeLower3_347,0.2987536714169881
rightEyeUpper0_158,0.29833085753893296
leftEyeUpper1_467,0.29812384396209185
rightEyeLower0_33,0.2974661193073012
rightEyeLower1_24,0.29711072343173267
leftEyeLower2_451,0.2958090061389464
rightEyeUpper1_247,0.2957149472197723
